Run Nsb0_tot Nsb0_tot_err Nsb0_start Nsb0_start_err Nsb0_end Nsb0_end_err Nsb1_tot Nsb1_tot_err Nsb1_start Nsb1_start_err Nsb1_end Nsb1_end_err
9957 0 0 0 0 0 0 2 1.41421 0 0 1 1
9958 0 0 0 0 0 0 0 0 0 0 0 0
9959 1 1 1 1 1 1 1 1 1 1 1 1
9960 0 0 0 0 0 0 0 0 0 0 0 0
9961 0 0 0 0 0 0 1 1 1 1 1 1
9962 1715 41.4126 514 22.6716 479 21.8861 1912 43.7264 591 24.3105 528 22.9783
9963 4477 66.9104 389 19.7231 367 19.1572 5318 72.9246 483 21.9773 461 21.4709
9964 6446 80.287 420 20.4939 1044 32.311 7682 87.647 434 20.8327 1242 35.242
9965 16085 126.827 1066 32.6497 1530 39.1152 19561 139.861 1296 36 1769 42.0595
9966 21356 146.137 1536 39.1918 2622 51.2055 26060 161.431 1814 42.5911 3067 55.3805
9967 0 0 0 0 0 0 0 0 0 0 0 0
9970 0 0 0 0 0 0 0 0 0 0 0 0
9971 1054 32.4654 1054 32.4654 1054 32.4654 1336 36.5513 1336 36.5513 1336 36.5513
9972 0 0 0 0 0 0 0 0 0 0 0 0
9973 478 21.8632 478 21.8632 478 21.8632 653 25.5539 653 25.5539 653 25.5539
